session, chunk, first query ID, number of queries, category 1, category 2, category 3, category 4, category 5, category 6
session01,chunk_07.log,622979812,5,x,x,,,x,
session02,chunk_07.log,640903854,7,,,x,,,
session03,chunk_07.log,623213766,4,,,,,x,
session04,chunk_08.log,409098207,7,,,,x,,
session05,chunk_08.log,459438448,6,x,,x,,,
session06,chunk_08.log,696877294,4,x,,,x,,
session07,chunk_08.log,705613812,4,x,x,,,,
session08,chunk_10.log,456763197,12,,,,x,,
session09,chunk_10.log,745274337,8,,,,x,,x
session10,chunk_09.log,575904962,9,,,,,x,
session11,chunk_09.log,706061334,8,,,,x,,x
session12,chunk_09.log,457703399,3,,,,x,,x
session13,chunk_09.log,423539497,4,,x,x,,,
session14,chunk_06.log,911120688,3,x,,,,,
session15,chunk_06.log,915732400,4,,x,,,,
session16,chunk_06.log,423677387,4,x,x,x,,,
session17,chunk_06.log,836323374,5,x,x,,,,
session18,chunk_11.log,630414210,15,x,x,,,,
session19,chunk_11.log,835262163,4,,,,,,x
session20,chunk_03.log,415926280,5,x,x,,,,
session21,chunk_03.log,739630605,9,,x,,,,
session22,chunk_03.log,747321618,4,x,x,,,,
session23,chunk_03.log,797721987,6,x,,,,,x
